[2026-06-02T05:11:49.680Z] GET http://localhost:5173/src/pages/EditorPage/spriteRuntime.ts → 200 (13ms, 82754B)
[2026-06-02T05:11:49.680Z] GET http://localhost:5173/src/pages/EditorPage/blockDefs.ts → 200 (15ms, 55276B)
[2026-06-02T05:11:49.683Z] GET http://localhost:5173/src/pages/DashboardPage/DashboardPage.module.css → 200 (13ms, 14153B)
[2026-06-02T05:11:49.683Z] GET http://localhost:5173/src/pages/EditorPage/EditorPage.module.css → 200 (14ms, 22993B)
[2026-06-02T05:11:49.683Z] GET http://localhost:5173/src/pages/EditorPage/StageCanvas.tsx → 200 (15ms, 22357B)
[2026-06-02T05:11:49.684Z] GET http://localhost:5173/src/api/client.ts → 200 (14ms, 1362B)
[2026-06-02T05:11:49.692Z] GET http://localhost:5173/src/components/Toast/Toast.module.css → 200 (12ms, 2022B)
[2026-06-02T05:11:49.694Z] GET http://localhost:5173/src/components/ShareModal/ShareModal.module.css → 200 (10ms, 3025B)
[2026-06-02T05:11:49.698Z] GET http://localhost:5173/src/pages/EditorPage/StageCanvas.module.css → 200 (7ms, 9535B)
[2026-06-02T05:11:49.704Z] GET http://localhost:5173/node_modules/.vite/deps/axios.js?v=93500f84 → 200 (1ms, 107708B)
[2026-06-02T05:11:49.710Z] GET http://localhost:5173/node_modules/vite/dist/client/env.mjs → 200 (3ms, 3478B)
[2026-06-02T05:11:49.760Z] GET https://fonts.googleapis.com/css2?family=Baloo+2:wght@500;600;700;800&family=Nunito:wght@400;600;700;800&display=swap → pending (?ms, ?B)
[2026-06-02T05:11:50.241Z] GET https://fonts.gstatic.com/s/nunito/v32/XRXV3I6Li01BKofINeaBTMnFcQ.woff2 → 200 (606ms, 39703B)
[2026-06-02T05:11:50.241Z] GET https://fonts.gstatic.com/s/baloo2/v23/wXKrE3kTposypRyd51jcAM4olXc.woff2 → 200 (605ms, 33191B)
[2026-06-02T05:12:46.399Z] GET http://localhost:5173/explore → 200 (7ms, 615B)
[2026-06-02T05:12:46.411Z] GET http://localhost:5173/@vite/client → 200 (17ms, ?B)
[2026-06-02T05:12:46.416Z] GET http://localhost:5173/src/main.tsx → 200 (5ms, ?B)
[2026-06-02T05:12:46.417Z] GET http://localhost:5173/@react-refresh → 200 (10ms, ?B)
[2026-06-02T05:12:46.422Z] GET http://localhost:5173/node_modules/.vite/deps/react.js?v=93500f84 → 200 (?ms, -310B)
[2026-06-02T05:12:46.422Z] GET http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=93500f84 → 200 (1ms, -312B)
[2026-06-02T05:12:46.424Z] GET http://localhost:5173/node_modules/.vite/deps/react-router-dom.js?v=93500f84 → 200 (?ms, -312B)
[2026-06-02T05:12:46.424Z] GET http://localhost:5173/src/index.css → 200 (4ms, ?B)
[2026-06-02T05:12:46.424Z] GET http://localhost:5173/src/App.tsx → 200 (5ms, ?B)
[2026-06-02T05:12:46.426Z] GET http://localhost:5173/src/context/AuthContext.tsx → 200 (5ms, ?B)
[2026-06-02T05:12:46.426Z] GET http://localhost:5173/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=93500f84 → 200 (?ms, -310B)
[2026-06-02T05:12:46.426Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-B-1-B7_t.js?v=93500f84 → 200 (?ms, -308B)
[2026-06-02T05:12:46.427Z] GET http://localhost:5173/node_modules/.vite/deps/react-dom.js?v=93500f84 → 200 (?ms, -310B)
[2026-06-02T05:12:46.428Z] GET http://localhost:5173/node_modules/vite/dist/client/env.mjs → 200 (5ms, ?B)
[2026-06-02T05:12:46.429Z] GET http://localhost:5173/src/pages/LandingPage/LandingPage.tsx → 200 (5ms, ?B)
[2026-06-02T05:12:46.429Z] GET http://localhost:5173/src/pages/LoginPage/LoginPage.tsx → 200 (5ms, ?B)
[2026-06-02T05:12:46.429Z] GET http://localhost:5173/src/pages/ExplorePage/ExplorePage.tsx → 200 (6ms, ?B)
[2026-06-02T05:12:46.429Z] GET http://localhost:5173/src/pages/DashboardPage/DashboardPage.tsx → 200 (9ms, ?B)
[2026-06-02T05:12:46.429Z] GET http://localhost:5173/src/pages/EditorPage/EditorPage.tsx → 200 (7ms, ?B)
[2026-06-02T05:12:46.431Z] GET http://localhost:5173/src/pages/PlayPage/PlayPage.tsx → 200 (7ms, ?B)
[2026-06-02T05:12:46.431Z] GET http://localhost:5173/src/api/auth.ts → 200 (8ms, ?B)
[2026-06-02T05:12:46.434Z] GET http://localhost:5173/src/pages/LandingPage/LandingPage.module.css → 200 (5ms, ?B)
[2026-06-02T05:12:46.435Z] GET http://localhost:5173/src/pages/LoginPage/LoginPage.module.css → 200 (4ms, ?B)
[2026-06-02T05:12:46.435Z] GET http://localhost:5173/src/pages/ExplorePage/ExplorePage.module.css → 200 (4ms, ?B)
[2026-06-02T05:12:46.435Z] GET http://localhost:5173/src/api/projects.ts → 200 (4ms, ?B)
[2026-06-02T05:12:46.436Z] GET http://localhost:5173/node_modules/.vite/deps/blockly.js?v=93500f84 → 200 (?ms, -314B)
[2026-06-02T05:12:46.436Z] GET http://localhost:5173/src/pages/EditorPage/EditorPage.module.css → 200 (4ms, ?B)
[2026-06-02T05:12:46.437Z] GET http://localhost:5173/src/hooks/useToast.ts → 200 (3ms, ?B)
[2026-06-02T05:12:46.437Z] GET http://localhost:5173/src/components/Toast/Toast.tsx → 200 (3ms, ?B)
[2026-06-02T05:12:46.437Z] GET http://localhost:5173/src/components/ShareModal/ShareModal.tsx → 200 (3ms, ?B)
[2026-06-02T05:12:46.437Z] GET http://localhost:5173/src/pages/EditorPage/StageCanvas.tsx → 200 (3ms, ?B)
[2026-06-02T05:12:46.437Z] GET http://localhost:5173/src/pages/EditorPage/blockDefs.ts → 200 (4ms, ?B)
[2026-06-02T05:12:46.437Z] GET http://localhost:5173/src/pages/EditorPage/spriteRuntime.ts → 200 (4ms, ?B)
[2026-06-02T05:12:46.438Z] GET http://localhost:5173/src/pages/DashboardPage/DashboardPage.module.css → 200 (3ms, ?B)
[2026-06-02T05:12:46.438Z] GET http://localhost:5173/src/pages/PlayPage/PlayPage.module.css → 200 (3ms, ?B)
[2026-06-02T05:12:46.439Z] GET http://localhost:5173/src/api/client.ts → 200 (2ms, ?B)
[2026-06-02T05:12:46.440Z] GET http://localhost:5173/src/components/Toast/Toast.module.css → 200 (2ms, ?B)
[2026-06-02T05:12:46.440Z] GET http://localhost:5173/src/components/ShareModal/ShareModal.module.css → 200 (3ms, ?B)
[2026-06-02T05:12:46.441Z] GET http://localhost:5173/src/pages/EditorPage/StageCanvas.module.css → 200 (2ms, ?B)
[2026-06-02T05:12:46.441Z] GET http://localhost:5173/node_modules/.vite/deps/axios.js?v=93500f84 → 200 (?ms, -312B)
[2026-06-02T05:12:46.443Z] GET https://fonts.googleapis.com/css2?family=Baloo+2:wght@500;600;700;800&family=Nunito:wght@400;600;700;800&display=swap → 200 (1ms, -743B)
[2026-06-02T05:12:46.447Z] GET https://fonts.gstatic.com/s/baloo2/v23/wXKrE3kTposypRyd51jcAM4olXc.woff2 → 200 (1ms, -814B)
[2026-06-02T05:12:46.448Z] GET https://fonts.gstatic.com/s/nunito/v32/XRXV3I6Li01BKofINeaBTMnFcQ.woff2 → 200 (?ms, -815B)
[2026-06-02T05:12:46.466Z] GET http://localhost:8000/projects?sort=latest → 200 (91ms, 2834B)
[2026-06-02T05:12:46.466Z] GET http://localhost:8000/projects?sort=latest → 200 (90ms, 2834B)
[2026-06-02T05:13:15.760Z] GET http://localhost:8000/projects?sort=latest&search=%EB%83%A5%EC%9D%B4 → 200 (16ms, 569B)
[2026-06-02T05:13:25.218Z] GET http://localhost:8000/projects?sort=views&search=%EB%83%A5%EC%9D%B4 → 200 (17ms, 569B)
[2026-06-02T05:13:31.362Z] GET blob:http://localhost:5173/abdf1057-d3db-4f84-8550-72eeb211c2da → 200 (?ms, -70B)
[2026-06-02T05:13:31.362Z] GET blob:http://localhost:5173/2dbbc440-882a-4f29-9959-aa9ef9ceaef5 → 200 (1ms, -70B)
[2026-06-02T05:13:31.362Z] GET http://localhost:8000/projects/e49f1ff4-d844-47a5-889c-8c32d640e366 → 200 (247ms, 306B)
[2026-06-02T05:13:31.362Z] GET http://localhost:8000/projects/e49f1ff4-d844-47a5-889c-8c32d640e366 → 200 (244ms, 306B)
